Method,Name,Error,Occurrences
GET,/tiles/4/5/12.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/4/5/12.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/43/62.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/43/62.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/24/63.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/24/63.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/14/47.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/14/47.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/23/23.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/23/23.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/13/60.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/13/60.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/22/63.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/22/63.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/3/30.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/3/30.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/16/24.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/16/24.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/10/24.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/10/24.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/4/8/14.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/4/8/14.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/56/62.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/56/62.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/2/1/3.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/2/1/3.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),3
GET,/tiles/6/7/59.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/7/59.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/4/15/14.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/4/15/14.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/4/14/12.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/4/14/12.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/31/57.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/31/57.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/43/58.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/43/58.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/11/29.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/11/29.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/5/21/29.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/5/21/29.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/3/5/7.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/3/5/7.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/5/46.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/5/46.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/25/56.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/25/56.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/32/52.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/32/52.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/3/7/6.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/3/7/6.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
GET,/tiles/6/15/48.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr,HTTPError('404 Client Error: Not Found for url: /tiles/6/15/48.png?reference=False&variable=tas&url=s3://nasa-eodc-data-store/test-data/cmip6-zarr/365_262_262_CMIP6_daily_GISS-E2-1-G_tas.zarr'),1
